Date;Open;High;Low;Close;Adj Close;Volume;C/V;
2000-01-03;7,758320;7,758320;7,005250;7,162870;6,324290;1121444;0;
2000-01-04;6,830120;6,830120;6,304730;6,304730;5,566615;1432068;1;
2000-01-05;6,453590;6,593700;6,217160;6,541160;5,775366;1100888;0;
2000-01-06;6,479860;6,479860;6,304730;6,331000;5,589809;523036;1;
2000-01-07;6,558670;6,567430;6,348510;6,523640;5,759897;480782;1;
2000-01-10;6,611210;6,698770;6,584940;6,584940;5,814019;432818;0;
2000-01-11;6,733800;6,733800;6,225920;6,225920;5,497031;268370;1;
2000-01-12;6,322240;6,401050;6,217160;6,260950;5,527961;447664;1;
2000-01-13;6,479860;6,567430;6,129600;6,304730;5,566615;425966;0;
2000-01-14;6,304730;6,479860;6,129600;6,252190;5,520224;422540;1;
2000-01-17;6,129600;6,479860;6,129600;6,392290;5,643923;278648;1;
2000-01-18;6,304730;6,567430;6,304730;6,567430;5,798560;485350;0;
2000-01-19;6,488620;6,795100;6,348510;6,348510;5,605269;847364;1;
2000-01-20;6,523640;6,523640;6,374780;6,436080;5,682588;427108;1;
2000-01-21;6,436080;6,567430;6,129600;6,567430;5,798560;440812;0;
2000-01-24;6,558670;6,830120;6,392290;6,523640;5,759897;532172;1;
2018-01-26;20,030001;20,200001;19,620001;19,790001;19,664015;3511200;1;
2018-01-29;19,740000;20,049999;19,639999;20,049999;19,922358;3476200;1;
2018-01-30;20,040001;20,309999;19,809999;20,250000;20,121088;3032800;0;
2018-01-31;20,350000;20,440001;19,920000;20,020000;19,892550;3833200;1;
2018-02-01;20,200001;20,400000;20,049999;20,400000;20,270132;3817600;1;
2018-02-02;20,350000;22,290001;20,120001;21,299999;21,164400;11919500;0;
2018-02-05;21,500000;21,799999;20,770000;20,920000;20,786821;5866600;1;
2018-02-06;20,559999;22,000000;20,200001;22,000000;21,859943;9703700;0;
2018-02-07;22,000000;22,270000;21,450001;21,690001;21,551920;4514700;0;
2018-02-08;21,799999;22,469999;21,559999;21,600000;21,462494;5273600;0;
2018-02-09;21,750000;21,840000;20,920000;21,440001;21,303511;2748300;1;
2018-02-14;21,750000;22,080000;21,440001;21,750000;21,611538;2583300;1;
2018-02-15;21,850000;22,080000;21,639999;21,889999;21,750647;2726400;1;
2018-02-16;22,040001;22,129999;21,650000;22,129999;21,989120;4086200;1;
2018-02-19;22,150000;22,600000;22,000000;22,600000;22,456125;2103700;0;
2018-02-20;22,580000;22,580000;22,160000;22,469999;22,326954;1805600;0;
2018-02-21;22,330000;22,850000;22,260000;22,370001;22,227591;3452200;1;
2018-02-22;22,559999;22,690001;22,219999;22,389999;22,247461;2867000;1;
2018-02-23;22,500000;22,600000;22,209999;22,600000;22,456125;2672100;1;
2018-02-26;23,200001;23,400000;22,400000;22,620001;22,475998;3492500;1;
2018-02-27;22,620001;22,879999;22,510000;22,840000;22,694599;4057400;0;
2018-02-28;22,690001;22,690001;21,379999;21,760000;21,621471;7967200;0;
2018-03-01;21,900000;22,129999;21,510000;21,600000;21,462494;1932200;0;
2018-03-02;21,639999;21,889999;21,160000;21,500000;21,363129;1946500;1;
2018-03-05;21,610001;21,670000;21,290001;21,620001;21,482367;1452000;0;
2018-03-06;21,700001;21,879999;21,030001;21,030001;20,896122;1902800;1;
2018-03-07;21,070000;21,430000;20,719999;21,430000;21,293573;2397400;0;
2018-03-08;21,200001;21,200001;20,000000;20,750000;20,617907;7167500;1;
2018-03-09;21,049999;22,240000;20,809999;22,200001;22,058674;4181600;0;
2018-03-12;22,500000;22,549999;21,799999;21,969999;21,830135;2577600;0;
2018-03-13;22,160000;22,340000;21,000000;21,719999;21,581726;3717600;0;
2018-03-14;21,700001;21,860001;21,080000;21,120001;20,985548;2099900;0;
2018-03-15;21,139999;21,250000;20,670000;20,820000;20,687456;3113200;0;
2018-03-16;20,959999;20,959999;20,670000;20,780001;20,667566;3103000;0;
2018-03-19;20,400000;20,900000;20,400000;20,590000;20,478592;1773400;0;
2018-03-20;20,900000;20,900000;20,240000;20,440001;20,329409;2497400;1;
2018-03-21;21,580000;21,639999;21,139999;21,500000;21,383669;3853000;0;
2018-03-22;21,299999;21,590000;21,110001;21,250000;21,135023;2505100;0;
2018-03-23;21,180000;21,299999;20,840000;21,209999;21,095238;1540300;1;
2018-03-26;21,510000;21,510000;21,040001;21,400000;21,284210;1317100;1;
2018-03-27;21,299999;21,820000;21,160000;21,459999;21,343885;1890600;0;
2018-03-28;21,120001;21,410000;21,040001;21,400000;21,284210;1558200;1;
2018-03-29;21,440001;21,700001;21,250000;21,549999;21,433401;2710400;0;
2018-04-02;21,700001;21,700001;21,129999;21,299999;21,184750;1374700;1;
2018-04-03;21,200001;21,690001;21,200001;21,600000;21,483130;1555600;0;
2018-04-04;21,670000;21,670000;20,950001;21,280001;21,164860;1780100;1;
2018-04-05;21,600000;21,860001;21,209999;21,770000;21,652210;1831400;0;
2018-04-06;21,770000;21,889999;21,350000;21,650000;21,532858;2702800;0;
2018-04-09;21,690001;21,690001;20,910000;20,990000;20,876429;1783800;1;
2018-04-10;21,299999;22,400000;20,940001;22,400000;22,278801;3922000;1;
2018-04-11;22,969999;23,930000;22,799999;23,290001;23,163986;6446600;0;
2018-04-12;23,400000;23,760000;22,809999;23,020000;22,895447;3619100;1;
2018-04-13;23,299999;23,629999;22,719999;23,070000;22,945177;2420900;0;
2018-04-16;23,330000;23,389999;22,610001;22,700001;22,577179;2362100;1;
2018-04-17;22,690001;23,170000;22,520000;23,000000;22,875553;1798900;0;
2018-04-18;23,190001;23,330000;22,639999;22,799999;22,676634;3059700;0;
2018-04-19;22,700001;22,900000;22,430000;22,770000;22,646799;2419400;1;
2018-04-20;23,320000;24,400000;23,320000;23,500000;23,372849;4538100;1;
2018-04-23;23,469999;23,950001;23,309999;23,700001;23,571768;1671000;0;
2018-04-24;23,950001;24,000000;23,000000;23,459999;23,404181;1919800;0;
2018-04-25;23,190001;23,469999;22,879999;23,100000;23,045036;2884100;1;
